Pakbon;Filiaal;Datum;Artikel nr;Artikel id;Leverancier;Hoofdgroep;Kleur id;Kleur;Kleur leverancier;Maat;Barcode;Barcode leverancier;Aantal;Material;GN -code;Weight article;Origin;Netto;Kostprijs;Valuta;Kostprijs Valuta
824197;26;10-06-2025;00037408;PG41027;Garcia;T-shirts.s(incl singlets);EKA00000200022560;6792-light sage;6792-light sage;XL;2900076418045;8713215983564;1;COT 100%;61091000;173;BD;150;6,70;CHF;6,30
824197;26;10-06-2025;00037409;Z1144;Garcia;Bermuda/Shorts;EKA00000200016592;292-dark moon;292-dark moon;XL;2900076423056;8713215899032;1;COT 98%,EA 2%;62034235;460;BD;400;12,89;CHF;12,12
824197;26;10-06-2025;00037429;Q41113;Garcia;Bermuda/Shorts;EKA00000200021394;2768-kit;2768-kit;XXL;2900076458065;8713215870475;1;COT 55%,LIN 45%;62034990;460;IN;400;14,66;CHF;13,78
824197;26;10-06-2025;00037436;PG41026;Garcia;T-shirts.s(incl singlets);EKA00000200021167;1863-dusty blue;1863-dusty blue;XXL;2900076481056;8713215949461;1;COT 100%;61091000;173;CN;150;6,97;CHF;6,55
824197;26;10-06-2025;00037447;PG51026;Garcia;Shirt long sleeves;EKA00000200019907;50-white;50-white;L;2900076523039;8717519156402;1;LIN 55%,COT 45%;62059080;288;IN;250;15,13;CHF;14,22
824197;26;10-06-2025;00037447;PG51026;Garcia;Shirt long sleeves;EKA00000200022233;4815-stone blue;4815-stone blue;M;2900076522025;8717519156334;2;LIN 55%,COT 45%;62059080;288;IN;250;15,13;CHF;14,22
824197;26;10-06-2025;00037447;PG51026;Garcia;Shirt long sleeves;EKA00000200022233;4815-stone blue;4815-stone blue;XXL;2900076522056;8717519156365;2;LIN 55%,COT 45%;62059080;288;IN;250;15,13;CHF;14,22
824197;26;10-06-2025;00037448;PG51027;Garcia;Shirt short sleeves;EKA00000200019907;50-white;50-white;XL;2900076526047;8717519156600;2;LIN 55%,COT 45%;62059080;230;IN;200;13,62;CHF;12,80
824197;26;10-06-2025;00037449;242/30;Garcia;Pants denim;EKA00000200022730;6618-medium used;6618-medium used;25-30;2900077352010;8717519150905;1;COT 79%,RCO 20%,EA 1%;62046231;805;TN;700;20,25;CHF;19,04
824197;26;10-06-2025;00037449;242/30;Garcia;Pants denim;EKA00000200022730;6618-medium used;6618-medium used;26-30;2900077352027;8717519150912;2;COT 79%,RCO 20%,EA 1%;62046231;805;TN;700;20,25;CHF;19,04
824197;26;10-06-2025;00037449;242/30;Garcia;Pants denim;EKA00000200022730;6618-medium used;6618-medium used;27-30;2900077352034;8717519150929;2;COT 79%,RCO 20%,EA 1%;62046231;805;TN;700;20,25;CHF;19,04
824197;26;10-06-2025;00037449;242/30;Garcia;Pants denim;EKA00000200022730;6618-medium used;6618-medium used;28-30;2900077352041;8717519150936;2;COT 79%,RCO 20%,EA 1%;62046231;805;TN;700;20,25;CHF;19,04
824197;26;10-06-2025;00037449;242/30;Garcia;Pants denim;EKA00000200022730;6618-medium used;6618-medium used;29-30;2900077352058;8717519150943;1;COT 79%,RCO 20%,EA 1%;62046231;805;TN;700;20,25;CHF;19,04
824197;26;10-06-2025;00037449;242/30;Garcia;Pants denim;EKA00000200022730;6618-medium used;6618-medium used;30-30;2900077352065;8717519150950;1;COT 79%,RCO 20%,EA 1%;62046231;805;TN;700;20,25;CHF;19,04
824197;26;10-06-2025;00037449;242/30;Garcia;Pants denim;EKA00000200022730;6618-medium used;6618-medium used;31-30;2900077352072;8717519150967;1;COT 79%,RCO 20%,EA 1%;62046231;805;TN;700;20,25;CHF;19,04
824197;26;10-06-2025;00037449;242/30;Garcia;Pants denim;EKA00000200022730;6618-medium used;6618-medium used;32-30;2900077352089;8717519150974;1;COT 79%,RCO 20%,EA 1%;62046231;805;TN;700;20,25;CHF;19,04
824197;26;10-06-2025;00037450;242/32;Garcia;Pants denim;EKA00000200022730;6618-medium used;6618-medium used;25-32;2900077353017;8717519151018;1;COT 79%,RCO 20%,EA 1%;62046231;805;TN;700;20,25;CHF;19,04
824197;26;10-06-2025;00037450;242/32;Garcia;Pants denim;EKA00000200022730;6618-medium used;6618-medium used;26-32;2900077353024;8717519151025;1;COT 79%,RCO 20%,EA 1%;62046231;805;TN;700;20,25;CHF;19,04
824197;26;10-06-2025;00037450;242/32;Garcia;Pants denim;EKA00000200022730;6618-medium used;6618-medium used;27-32;2900077353031;8717519151032;2;COT 79%,RCO 20%,EA 1%;62046231;805;TN;700;20,25;CHF;19,04
824197;26;10-06-2025;00037450;242/32;Garcia;Pants denim;EKA00000200022730;6618-medium used;6618-medium used;28-32;2900077353048;8717519151049;2;COT 79%,RCO 20%,EA 1%;62046231;805;TN;700;20,25;CHF;19,04
824197;26;10-06-2025;00037450;242/32;Garcia;Pants denim;EKA00000200022730;6618-medium used;6618-medium used;29-32;2900077353055;8717519151056;2;COT 79%,RCO 20%,EA 1%;62046231;805;TN;700;20,25;CHF;19,04
824197;26;10-06-2025;00037450;242/32;Garcia;Pants denim;EKA00000200022730;6618-medium used;6618-medium used;30-32;2900077353062;8717519151063;1;COT 79%,RCO 20%,EA 1%;62046231;805;TN;700;20,25;CHF;19,04
824197;26;10-06-2025;00037450;242/32;Garcia;Pants denim;EKA00000200022730;6618-medium used;6618-medium used;31-32;2900077353079;8717519151070;1;COT 79%,RCO 20%,EA 1%;62046231;805;TN;700;20,25;CHF;19,04
824197;26;10-06-2025;00037450;242/32;Garcia;Pants denim;EKA00000200022730;6618-medium used;6618-medium used;32-32;2900077353086;8717519151087;1;COT 79%,RCO 20%,EA 1%;62046231;805;TN;700;20,25;CHF;19,04
824197;26;10-06-2025;00037450;242/32;Garcia;Pants denim;EKA00000200022730;6618-medium used;6618-medium used;33-32;2900077353093;8717519151094;1;COT 79%,RCO 20%,EA 1%;62046231;805;TN;700;20,25;CHF;19,04
824197;26;10-06-2025;00037479;Q40004;Garcia;T-shirts.s(incl singlets);EKA00000200022561;7151-seagrass;7151-seagrass;M;2900076577025;8713215885035;1;RPL 65%,VIS 35%;61099020;173;TR;150;6,92;CHF;6,50
